Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,GELADEIRA 5 (ESTOQUE 4ºC),,,,,,,,,,,
CONDIÇÕES,CÓDIGO,NOME,EMPRESA,PESO,OCORRÊNCIA,DATA,ESTOQUE FECHADO,ESTOQUE ABERTO (RETIRADA),LOCAL,VERIFICAÇÃO DO PRODUTO,DATA DE VERIFICAÇÃODO PRODUTO,OBSERVAÇÃO 
ESTOQUE CONFORTAVEL,Sigma,Ampicilina,A9393 e A0166,5 G,ENTRADA,,1,2,Geladeira 1 - Prateleira 1 - porta,True,2025-03-07 00:00:00,
ESTOQUE CONFORTAVEL,13075-015 ,Ampicilina sódica,Gibco ,,ENTRADA,,1,0,Geladeira 12 de cultivo - Compartimento 1,True,2025-04-01 00:00:00,
ESTOQUE CONFORTAVEL,A-0166,Ampicilina sódica,Sigma,5 G,ENTRADA,,0,1,Geladeira 12 de cultivo - Compartimento 2,True,2025-04-01 00:00:00,
ESTOQUE CONFORTAVEL,78701,Antisoro de cabra para IgG de coelho,Kallestad,,ENTRADA,,,2,Geladeira de cultivo - Compartimento 1,False,,
ESTOQUE CONFORTAVEL,A-9788,Arabinogalactano,Sigma,,ENTRADA,,2,,Geladeira 12 de cultivo - Prateleira 2 - Porta,True,2025-04-03 00:00:00,
ESTOQUE CONFORTAVEL,14391,Azocaseína Na-salt,Serva,,ENTRADA,,2,,Geladeira de cultivo - Prateleira 2 - Porta,True,2025-04-03 00:00:00,
ESTOQUE CONFORTAVEL,F0257,Anti-Mouse igG,,5ml,,,0,1,Geladeira 1 (5) - Prateira 1 - ( Porta),True,2025-03-07 00:00:00,
ESTOQUE CONFORTAVEL,9048468,ALBUMINA BOVINA ,SIGMA,10G,ENTRADA,,0,1,Geladeira 12 de cultivo - prateleira 1,True,2025-04-04 00:00:00,
B,,,,,,,,,,False,,
ESTOQUE CONFORTAVEL,G-7391,Beta-glucano,Sigma,,ENTRADA,,1,1,Geladeira  12 de cultivo - Prateleira 2 - Porta,True,2025-04-03 00:00:00,
ESTOQUE MODERADO,#5000006,Bradford - Protein Assay Dye Reagent concentrate,Biorad,,ENTRADA,,,1,Geladeira 1 - Prateleira 2,False,,
ESTOQUE CONFORTAVEL,298931,BROMETO TIAZOLIL AZUL TETRAZOLIO-MTT,ẼXODO,1g,ENTRADA,,1,0,Geladeira 1(5) - Prateleira 1 (Porta),True,2025-03-07 00:00:00,
ESTOQUE CONFORTAVEL,A-7906 / A-3294,BSA,Sigma,,ENTRADA,,1,1,Geladeira 12 de cultivo - Prateleira 1,True,2025-04-04 00:00:00,
ESTOQUE CONFORTAVEL,B6506,BSA,Fitzgerald,,ENTRADA,,1,1,Geladeira 12 de cultivo - Prateleira 3,True,2025-04-03 00:00:00,
ESTOQUE CONFORTAVEL,14525,BENZAMIDINE,SIGMA,25G,ENTRADA,,0,1,Geladeira 12 de  cultivo - Prateleira 3 (porta),True,2025-03-07 00:00:00,
ESTOQUE CONFORTAVEL,B0125,Bacitracin,sigma,,ENTRADA,,0,1,Geladeira 1 (5) - Prateira 1 - ( Porta),True,2025-03-07 00:00:00,
ESTOQUE CONFORTAVEL,,BUFFER P1 RESUSPENSION BUFFER ,,,,,,1,Geladeira 12 de  cultivo - Prateleira 3 (porta),False,,
ESTOQUE CONFORTAVEL,Z523A,Beta - Mercaptoethanol,,,,,,,,False,,
C,,,,,,,,,,False,,
ESTOQUE CONFORTAVEL,Sigma,Cefaclor,PHR1283,,ENTRADA,,0,1,Geladeira 1 - Prateleira 1 - porta,True,2025-03-07 00:00:00,
ESTOQUE CONFORTAVEL,Sigma,Cefazolin,C5020,,ENTRADA,,,1 (acaband),Geladeira 1 - Prateleira 1 - porta,True,2025-03-07 00:00:00,
ESTOQUE CONFORTAVEL,Sigma,Ceftriaxone,PHR1382,,ENTRADA,,,1,Geladeira 1 - Prateleira 1 - porta,True,2025-03-07 00:00:00,
ESTOQUE CONFORTAVEL,Sigma,Cellobiose de Aspergillus niger,C6105,,ENTRADA,,1,2,Geladeira 1 - Prateleira 2 - porta,True,2025-03-07 00:00:00,
ESTOQUE CONFORTAVEL,Merck,Celulase,2312,,ENTRADA,,0,1,Geladeira 1 - Prateleira 2 - porta,True,2025-03-07 00:00:00,
ESTOQUE CONFORTAVEL,,Celulase (está num pote de nescafé),,,ENTRADA,,,1,Geladeira 1 - Prateleira 4 - porta,False,,
ESTOQUE CONFORTAVEL,Sigma,Celulase de Trichoderma reesei,C2730,,ENTRADA,,0,2,Geladeira 1 - Prateleira 2 - porta,True,2025-03-07 00:00:00,
ESTOQUE CONFORTAVEL,UCI - Farma,Ciclopirox Olamina,,,ENTRADA,,,1,Geladeira 1 - Prateleira 2 - porta,True,2025-03-07 00:00:00,
ESTOQUE CONFORTAVEL,K-24804,Citocromo C,Merck,250 mg,ENTRADA,,1,,Geladeira de cultivo - Prateleira 2 - Porta,True,2025-03-07 00:00:00,
ESTOQUE CONFORTAVEL,Sigma,Cloreto iodonitrotetrazolium,I8377,,ENTRADA,,,1,Geladeira 1 - Prateleira 2 - porta,False,,
ESTOQUE CONFORTAVEL,Sigma,Clorofórmio ,32211,,ENTRADA,,,1,Geladeira 1 -Prateleira 4 (porta),False,,
ESTOQUE CONFORTAVEL,C-5921,Colesterol esterase,Sigma,,ENTRADA,,1,,Geladeira 12 de cultivo - Prateleira 2 - Porta,True,,
ESTOQUE CONFORTAVEL,Fluka,D-(+)-Glucose solution ,G3285-1VL,,ENTRADA,,4,,Geladeira 1 -Prateleira 3 (porta),False,,
D,,,,,,,,,,False,,
ESTOQUE CONFORTAVEL,39156,D(-) ribose,Kühl Lagern,10 G,ENTRADA,,1,,Geladeira  12 de cultivo - Prateleira 2 - Porta,True,2025-04-03 00:00:00,
ESTOQUE CONFORTAVEL,G-0750,D(+) galactose,Sigma,25 G,ENTRADA,,1,,Geladeira 12 de cultivo - Prateleira 3 - Porta,True,2025-04-03 00:00:00,
ESTOQUE BAIXO,Sigma,Dicloridrato de espectinomicina,S4014,,ENTRADA,,1,1,Geladeira 1 - Prateleira 1 - porta,True,2025-03-07 00:00:00,
ESTOQUE CONFORTAVEL,Amresco e Sigma,Dietilpirocarbonato,E174 e 159220,,ENTRADA,,1,1,Geladeira 1 - Prateleira 2 - porta,True,2025-03-07 00:00:00,
